Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Hit
0.612,0.758,0,-4.123,1,0.0314,0.309,0,0.0949,0.579,128.015,1
0.666,0.854,8,-8.442,0,0.0565,0.0044,0.769,0.313,0.748,136.954,1
0.626,0.532,9,-7.205,1,0.0276,0.296,0,0.123,0.33,130.076,1
0.622,0.428,8,-10.146,1,0.0338,0.432,1.20E-05,0.119,0.229,77.127,1
0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12E-05,0.168,0.543,99.01,1
0.691,0.684,7,-7.466,0,0.0494,0.000652,0.00457,0.106,0.651,87.309,1
0.533,0.315,2,-14.349,1,0.0308,0.235,1.19E-05,0.0939,0.316,140.918,1
0.674,0.623,2,-5.97,1,0.0283,0.00408,5.61E-05,0.0488,0.452,126.547,1
0.593,0.939,7,-3.431,1,0.0616,0.45,1.33E-05,0.109,0.743,134.108,1
0.583,0.637,0,-6.464,1,0.0459,0.00722,0.0419,0.177,0.315,80.004,1
0.626,0.41,10,-8.551,1,0.0284,0.616,3.13E-05,0.145,0.346,126.517,1
0.659,0.721,9,-8.525,0,0.117,0.166,0,0.0641,0.66,86.738,1
0.762,0.486,8,-5.295,1,0.0284,0.0144,0,0.0462,0.3,120.102,1
0.562,0.451,7,-7.799,1,0.0266,0.419,0,0.104,0.277,132.949,1
0.696,0.685,1,-5.53,0,0.0246,0.218,0,0.0988,0.507,100.088,1
0.653,0.417,9,-7.86,1,0.0462,0.0437,6.67E-05,0.307,0.0424,109.961,1
0.751,0.834,1,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053,1
0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85E-06,0.375,0.527,95.468,1
0.798,0.48,0,-5.564,1,0.0276,0.247,0,0.237,0.643,108.241,1
0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,1
0.527,0.878,11,-5.704,1,0.0424,0.000555,0,0.0852,0.757,132.791,1
0.308,0.895,1,-4.131,1,0.103,0.0795,0,0.135,0.328,164.277,1
0.241,0.508,9,-9.791,1,0.0275,0.0362,0.599,0.167,0.0445,140.627,1
0.664,0.396,5,-9.131,0,0.0298,0.52,0,0.268,0.453,102.053,1
0.571,0.83,10,-6.757,1,0.046,0.265,0,0.0764,0.483,159.872,1
0.618,0.941,7,-3.119,1,0.0341,0.0796,2.51E-06,0.0755,0.929,104.774,1
0.481,0.94,7,-5.204,1,0.066,0.000891,0,0.0939,0.66,96.493,1
0.477,0.811,4,-6.765,1,0.0456,0.112,0.000663,0.234,0.708,179.112,1
0.545,0.61,4,-6.396,1,0.027,0.355,1.21E-06,0.18,0.415,89.924,1
0.671,0.715,7,-6,1,0.0376,0.54,0,0.0305,0.785,137.828,1
0.64,0.781,7,-3.155,1,0.0398,0.578,0,0.272,0.646,91.02,1
0.385,0.443,7,-9.627,0,0.0295,0.0632,0,0.0898,0.275,151.278,1
0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,1
0.534,0.929,1,-3.609,1,0.047,0.000206,5.58E-05,0.036,0.447,122.733,1
0.622,0.942,0,-9.469,1,0.0385,0.0271,2.36E-05,0.326,0.844,117.173,1
0.76,0.644,1,-8.971,1,0.0431,0.07,1.91E-05,0.155,0.779,99.954,1
0.889,0.655,2,-6.659,1,0.126,0.0145,0,0.142,0.609,81.387,1
0.831,0.713,7,-6.967,0,0.104,0.0678,0,0.0659,0.683,99.584,1
0.787,0.425,10,-5.692,0,0.0641,0.00637,0.00169,0.196,0.711,99.225,1
0.478,0.736,7,-7.124,1,0.0367,0.02,9.58E-05,0.118,0.564,144.705,1
0.48,0.729,10,-4.398,1,0.028,0.0129,0,0.0862,0.509,137.232,1
0.703,0.889,10,-5.605,0,0.0974,0.313,0,0.534,0.874,83.287,1
0.739,0.688,4,-5.581,1,0.0349,0.498,0,0.17,0.769,126.998,1
0.736,0.573,10,-7.404,0,0.0728,0.0374,0,0.0833,0.702,87.992,1
0.643,0.757,9,-8.031,0,0.0347,0.0435,1.35E-06,0.0883,0.471,126.975,1
0.709,0.469,11,-7.083,0,0.0278,0.504,0,0.045,0.256,113.986,1
0.587,0.641,4,-5.843,1,0.0224,0.0843,0,0.31,0.412,86.008,1
0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56E-06,0.0602,0.927,97.004,1
0.576,0.849,0,-5.199,1,0.0355,0.0678,0,0.278,0.482,120,1
0.715,0.815,9,-5.867,1,0.0576,0.0689,0,0.233,0.804,106.001,1
0.515,0.908,8,-4.632,1,0.0368,0.0158,1.88E-05,0.412,0.637,150.031,1
0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,1
0.442,0.447,0,-8.838,1,0.0252,0.101,0,0.0962,0.16,149.652,1
0.677,0.649,9,-8.612,1,0.0355,0.00729,0.215,0.098,0.204,131.109,1
0.574,0.368,7,-10.644,1,0.0271,0.0163,2.12E-05,0.0746,0.296,129.457,1
0.569,0.498,4,-6.63,0,0.0269,0.341,2.35E-05,0.134,0.0891,72.344,1
0.428,0.785,0,-4.853,1,0.0569,0.0104,0,0.102,0.68,182.352,1
0.675,0.837,2,-5.105,1,0.0354,0.103,0,0.123,0.888,112.53,1
0.394,0.663,0,-6.619,1,0.0295,0.0769,0.00644,0.239,0.737,207.575,1
0.743,0.774,1,-7.697,1,0.325,0.0262,0,0.137,0.646,106.082,1
0.549,0.54,9,-5.76,1,0.027,0.0399,0,0.0688,0.361,139.714,1
0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,1
0.829,0.915,8,-3.205,1,0.106,0.226,1.25E-05,0.246,0.779,118.903,1
0.753,0.45,9,-6.909,1,0.0924,0.274,2.00E-06,0.321,0.56,109.405,1
0.938,0.646,7,-6.309,1,0.244,0.0894,3.52E-06,0.0733,0.662,97.009,1
0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,1
0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,1
0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,1
0.75,0.463,5,-6.99,0,0.0415,0.0581,0,0.0889,0.568,126.072,1
0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,1
0.697,0.928,9,-4.173,1,0.0423,0.102,0,0.066,0.722,123.785,1
0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,1
0.691,0.792,9,-3.884,1,0.0509,0.0961,0,0.392,0.302,100.057,1
0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00444,0.101,0.695,97.923,1
0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,1
0.913,0.831,11,-4.443,1,0.234,0.365,6.38E-05,0.297,0.894,97.998,1
0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,1
0.774,0.684,1,-4.721,0,0.0408,0.0687,9.34E-05,0.0765,0.354,98.001,1
0.785,0.871,4,-2.692,0,0.265,0.144,0,0.309,0.315,87.248,1
0.705,0.555,8,-8.488,1,0.0238,0.449,0.0149,0.254,0.487,104.501,1
0.765,0.706,6,-5.477,0,0.026,0.047,4.25E-06,0.36,0.669,116.021,1
0.659,0.468,8,-7.439,1,0.0232,0.363,0,0.0964,0.37,99.066,1
0.502,0.591,7,-4.522,1,0.0242,0.00585,1.90E-05,0.0725,0.169,81.782,1
0.414,0.402,10,-8.911,0,0.0427,0.7,0,0.363,0.171,105.368,1
0.55,0.832,10,-7.773,1,0.0296,0.133,3.96E-05,0.189,0.627,99.917,1
0.68,0.857,7,-4.132,1,0.0373,0.0151,2.88E-05,0.056,0.794,95.349,1
0.658,0.434,1,-8.527,1,0.025,0.354,1.75E-05,0.112,0.218,83.921,1
0.741,0.753,0,-4.528,0,0.0277,0.215,1.11E-06,0.189,0.771,109.998,1
0.83,0.948,9,-3.973,0,0.0455,0.106,2.29E-06,0.105,0.931,111.993,1
0.657,0.537,6,-7.825,0,0.199,0.0196,5.55E-06,0.102,0.636,172.212,1
0.955,0.768,1,-5.54,0,0.181,0.0134,0,0.308,0.741,125.04,1
0.714,0.528,6,-8.789,1,0.0692,0.00415,0.854,0.0819,0.297,139.983,1
0.694,0.617,10,-3.559,0,0.049,0.226,0,0.247,0.305,114.064,1
0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51E-06,0.373,0.858,143.866,1
0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,1
0.834,0.481,2,-7.824,0,0.188,0.0732,0,0.0934,0.406,89.849,1
0.677,0.481,7,-5.613,0,0.0522,0.15,0,0.0747,0.246,134.01,1
0.596,0.465,9,-8.511,1,0.0253,0.385,0,0.106,0.141,73.013,1
0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,1
0.596,0.706,2,-5.562,1,0.0262,0.351,0,0.36,0.704,146.088,1
0.443,0.596,0,-5.366,0,0.0294,0.688,0,0.167,0.186,115.597,1
0.723,0.463,1,-4.938,1,0.0755,0.241,0,0.0651,0.551,120.115,1
0.754,0.376,0,-7.561,1,0.204,0.404,0,0.358,0.554,95.018,1
0.369,0.528,1,-6.648,1,0.0285,0.307,0,0.229,0.336,153.898,1
0.817,0.586,5,-8.085,0,0.163,0.0199,0,0.0363,0.896,143.931,1
0.544,0.659,9,-7.191,1,0.0298,0.427,1.33E-06,0.126,0.361,109.933,1
0.8,0.922,4,-5.125,0,0.24,0.301,9.31E-06,0.0352,0.801,98.631,1
0.457,0.926,0,-5.461,1,0.038,0.000487,5.69E-05,0.0949,0.41,93.964,1
0.605,0.804,5,-7.521,1,0.0363,0.265,4.93E-06,0.345,0.601,98.866,1
0.843,0.805,4,-5.946,0,0.269,0.142,0,0.0771,0.615,94.946,1
0.612,0.663,1,-9.314,1,0.035,0.00931,0.0152,0.0637,0.558,100.178,1
0.584,0.429,3,-9.289,1,0.028,0.23,0,0.0708,0.355,138.884,1
0.701,0.503,5,-7.535,1,0.026,0.572,0,0.333,0.726,94.073,1
0.574,0.416,11,-6.381,0,0.0315,0.0451,0,0.156,0.402,63.031,1
0.301,0.823,1,-4.072,1,0.0433,0.000144,0.000309,0.0833,0.372,152.017,1
0.534,0.892,4,-5.04,0,0.028,0.000697,0,0.109,0.749,128.834,1
0.603,0.933,1,-3.358,1,0.171,0.00591,0,0.206,0.709,96.306,1
